t, pose_x, pose_y, pose_theta, linear_displacement, linear_velocity, profile_displacement, profile_velocity, velocity_command_dx, velocity_command_dy, velocity_command_dtheta, steering_command_dx, steering_command_dy, steering_command_dtheta, cross_track_error, along_track_error, lookahead_point_x, lookahead_point_y, lookahead_point_velocity
468.214553, 19.0, 47.0, 3.141592653589793, 0.0, 0.5752427954571153, 0.0, 0.5752427954571153, -5.4247572045428845, 0.0, 0.0, -12.0, 0.0, 0.0, 0.0, 0.0, 31.0, 47.0, -53.665631459994955
468.248484, 18.95398059972729, 46.999959840486476, -3.1398473243117917, 0.04601942363656923, 0.0, -0.04956020236732886, -3.4964772045423436, -10.04440217202138, 0.0, -0.0028940398895371763, -12.092044934133058, 0.0, -0.003484016249661426, 0.04601941779560337, -0.09557962600389809, 31.046019417795605, 47.0, -53.76843553862196
468.259531, 18.971237859847484, 46.99998845413432, -3.1400218572005807, 0.02876213977285577, 0.0, -0.09550795858572625, -4.822117204537817, -11.540048518143479, 0.0, -0.0030049300883434856, -12.057529234845857, 0.0, -0.0031396776479669774, 0.028762142469919972, -0.12427009835858202, 31.028762142469922, 47.0, -53.72990707411265
468.271521, 18.994247549119642, 47.00002058174299, -3.140370923108196, 0.005752427954571156, -0.5752427954571153, -0.1619507498682956, -6.260917204540902, -13.213345382391969, 0.0, -0.0026917166444721512, -12.011507934793507, 0.0, -0.0024468879680067906, 0.005752487700037049, -0.16770317782286676, 31.005752487700036, 47.0, -53.67849287236005
468.286506, 19.046019376266344, 47.00007027914438, -3.1408945219046003, -0.04601942363656923, -1.725728386371346, -0.26924360767807815, -8.059117204536989, -15.30220505209484, 0.0, -0.001795418086381929, -12.000071271116207, 0.0, -0.0014079764925829913, 7.027914438140215E-5, -0.2232241840415089, 31.046089655410725, 47.0, -53.768592294187634
468.295131, 19.212839769163168, 47.000143068275264, -3.141418120668495, -0.21283983431913273, -4.6019423636569226, -0.34321693106768114, -9.09411720454321, -15.836179071164455, 0.0, -4.921169488176258E-4, -12.000143139858487, 0.0, -3.7291027089451104E-4, 1.4306827526411325E-4, -0.13037709674854842, 31.21298283743843, 47.0, -54.13978094696379
468.304737, 19.2588591925661, 47.000147084227486, 3.141592653589793, -0.25885925795570197, -8.053399136399616, -0.43611153509413875, -10.246837204538707, -17.177351318215678, 0.0, -3.508965992463639E-5, -12.000146960155183, 0.0, -2.451373719247217E-5, 1.4708422748554995E-4, -0.17725227713843678, 31.259006276793578, 47.0, -54.24169527614765
468.346105, 19.557985446203798, 47.000147084227486, 3.141592653589793, -0.5579855115934019, -9.203884727313845, -0.9626813820120138, -15.210997204542792, -23.355505016565456, 0.0, -4.5573681804895174E-5, -12.278225725569651, 0.0, -2.3958546473257816E-5, 1.4708422748554995E-4, -0.4046958704186119, 31.83621144895787, 47.0, -55.50397055841941
468.358068, 19.793834987551623, 47.00018824773733, -3.141243587747197, -0.7938350577308193, -10.354370318228078, -1.1532373437096293, -16.646557204540414, -24.570427568432155, 0.0, -0.0014291632507158164, -12.519422319374984, 0.0, -7.282045967335932E-4, 1.8824773732717404E-4, -0.35940228597880997, 32.31325703289566, 47.0, -56.525938186773686
468.372078, 19.93189325005034, 47.00023643916301, -3.141243587747197, -0.931893328640527, -10.929613113685193, -1.398232416144961, -18.327757204538585, -26.808626722467743, 0.0, -0.0015595168798438858, -12.644029021109638, 0.0, -7.355310248372671E-4, 2.364391630109708E-4, -0.4663390875044341, 32.57592198504094, 47.0, -57.08083107672685
