t, pose_x, pose_y, pose_theta, linear_displacement, linear_velocity, profile_displacement, profile_velocity, velocity_command_dx, velocity_command_dy, velocity_command_dtheta, steering_command_dx, steering_command_dy, steering_command_dtheta, cross_track_error, along_track_error, lookahead_point_x, lookahead_point_y, lookahead_point_velocity
74.115741, 20.0, 50.0, -3.1400218572005807, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0015707957432485172, 23988.008911000274, 0.0, 6.280043714401121, 0.0, 0.0, 32.0, 50.0, 53.665631459994955
74.173466, 20.0, 50.0, 3.141592653589793, 0.0, 0.0, 0.19993053750003403, 6.927000000000589, 14.065538917209086, 0.0, -0.0, 12.0, 0.0, -0.0, 0.0, 0.19993053750003403, 32.0, 50.0, 53.665631459994955
74.181922, 20.0, 50.0, 3.141592653589793, 0.0, 0.0, 0.26279548566000216, 7.941720000000032, 15.414944723967162, 0.0, -0.0, 12.0, 0.0, -0.0, 0.0, 0.26279548566000216, 32.0, 50.0, 53.665631459994955
74.190953, 20.0, 50.0, 3.141592653589793, 0.0, 0.0, 0.33941069663994045, 9.025439999999207, 16.903507135406052, 0.0, -0.0, 12.0, 0.0, -0.0, 0.0, 0.33941069663994045, 32.0, 50.0, 53.665631459994955
74.199995, 19.976990288181714, 50.0, 3.141592653589793, 0.023009711818284616, 0.0, 0.42592419096001405, 10.110480000000166, 18.327876142497587, 0.0, -0.0, 12.046019423636576, 0.0, -0.0, 0.02300971181828615, 0.40291447914172945, 32.02300971181829, 50.0, 53.71705809923314
74.209252, 19.85618930113572, 50.0, 3.141592653589793, 0.14381069886427886, 3.4514567727426924, 0.5246584272600737, 11.221320000000787, 19.281675818536346, 0.0, -0.0, 12.287621397728557, 0.0, -0.0, 0.14381069886427866, 0.38084772839579484, 32.14381069886428, 50.0, 53.98624424543188
74.215799, 19.80441744954458, 50.0, 3.141592653589793, 0.19558255045541922, 4.6019423636569226, 0.6006962018400506, 12.006960000000504, 20.181428090034224, 0.0, -0.0, 12.39116510091084, 0.0, -0.0, 0.19558255045541983, 0.40511365138463135, 32.19558255045542, 50.0, 54.10119972892746
74.221404, 19.77565530991775, 50.00000250997012, 3.141418120668495, 0.224344690228275, 5.7524279545711545, 0.6698801741400882, 12.679560000000833, 21.046654457643807, 0.0, -5.894741877532726E-4, 224323.12494708336, 0.0, -6.282836644587617, 0.224344690096292, 0.4455354839118132, 32.224344690096295, 50.0, 54.16495846599635
74.236065, 19.654854324711657, 50.000023593719185, 3.141418120668495, 0.3451456772742692, 8.053399136399616, 0.8686718985599502, 14.438879999999585, 23.18532538341321, 0.0, -6.309542328893802E-4, 230872.0366785976, 0.0, -6.2828399597257985, 0.3451456760947614, 0.523526221285681, 32.34514567609476, 50.0, 54.43192962097469
74.257678, 19.39024264283165, 50.0000005019942, -3.141243587747197, 0.6097573631845423, 9.77912752277096, 1.208766718139977, 17.032439999999838, 26.174046075710468, 0.0, 0.0013824197613016352, 118949.47643020324, 0.0, 6.282487099546857, 0.609757357168555, 0.5990093549554347, 32.609757357168554, 50.0, 55.01219651786732
74.274009, 19.160145585394844, 49.999839863921636, -3.1405454560620036, 0.8398544813673885, 13.230584295513655, 1.5029255894401279, 18.99216000000081, 28.424564964271106, 0.0, 0.004303218489734711, 41489.397432601065, 0.0, 6.281114324329608, 0.8398544298718281, 0.6630711080727394, 32.83985442987183, 50.0, 55.51184615169305
74.284453, 18.918543767081395, 49.99956577523778, -3.140370923108196, 1.0814564554593769, 14.381069886427884, 1.707824336639986, 20.245439999999917, 29.496580971575792, 0.0, 0.0049611998323064255, 37342.220708428555, 0.0, 6.280803164784832, 1.0814563200932543, 0.626367881180609, 33.08145632009325, 50.0, 56.03168315178816
74.296726, 18.728713830586084, 49.99930072246624, -3.1400218572005807, 1.271286577960225, 15.531555477342117, 1.9653342135001484, 21.71820000000082, 31.314440772953933, 0.0, 0.006557690048113366, 29989.076489460418, 0.0, 6.280139884116921, 1.2712863617345136, 0.6940476355399234, 33.27128636173451, 50.0, 56.43676750856912
74.309595, 18.487112188903403, 49.99890013139656, -3.1398473243117917, 1.5128885520522135, 17.832526659170576, 2.2547623989600405, 23.26248000000021, 33.08300442139233, 0.0, 0.007363223618984173, 28215.360533320272, 0.0, 6.2798410462006675, 1.512888210898478, 0.741873846907827, 33.51288821089848, 50.0, 56.94816213553897
74.317875, 18.349054149996796, 49.998647126541805, -3.1396727914230027, 1.650946822961921, 17.832526659170576, 2.4514892373600223, 24.25608000000011, 34.39001811357934, 0.0, 0.008232127394585743, 26232.938215896465, 0.0, 6.279522407180262, 1.6509464043115982, 0.8005424143981013, 33.6509464043116, 50.0, 57.23833625320344
74.321842, 18.257015488232668, 49.998462392862386, -3.1394982585342137, 1.7429856702350595, 18.40776945462769, 2.5486573320600954, 24.732120000000464, 34.889816177789704, 0.0, 0.008989916904850773, 24369.52032186417, 0.0, 6.279195097740122, 1.742985189981979, 0.8056716618250359, 33.74298518998198, 50.0, 57.430971135752834
74.335016, 18.067185894835475, 49.9980151165872, -3.138974659607772, 1.9328157927359078, 18.40776945462769, 2.8848915374998976, 26.312999999999533, 37.234710471859366, 0.0, 0.011701000792645713, 19978.371590819395, 0.0, 6.278199530962403, 1.9328151243419802, 0.9520757447639898, 33.93281512434198, 50.0, 57.826253811241095
